IMPERIAL_20_solar,H_ALLEN_20_solar,PALOVRD2_20_solar,EMERY_20_solar
77.5,1099.9,2275.5,371.5
159.1,1100,2289.1,407
167.1,1100,2213.6,341.3
177.9,1100,2181.5,335.6
168.1,947.7,1705.4,149.8
138.6,9.6,206.2,0
26.7,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6.7,0,1288,296.1
38.1,391.1,1601.3,459.7
127.2,990.1,1871.8,480.6
130.8,999.2,1952.8,443.9
98.6,1082.7,1642.5,287.5
87.6,989.1,1009.9,191.3
88.6,743,946,74.1
95.5,527.6,989.3,22.9
86.6,135,194.7,0
34.3,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,81.2,0
41.3,698.5,547.3,95.3
138,1063.2,591.3,99.7
149.4,919.4,310.2,38.5
141,505.9,321.3,0
123.4,208.2,781.7,99.2
110.4,99.4,588.4,0
68,62.7,523.8,96.7
94.5,196.9,513.2,193.5
111.4,54.3,118,0
23.1,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,376.8,97.3
121.9,799.4,3004.4,500.5
161.1,1082.5,2920.3,478.4
183,1100,2921.8,385.1
174.4,1071.5,3026.4,456.1
171.1,1026.2,3135.5,387.9
156.1,1039.2,3136.4,333.9
139.7,1006,2980.7,402.4
119.9,1004.8,2673.6,385.7
115.6,637.5,1654,263.9
39.2,82.1,242.6,78.3
2.7,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,75.8,0
176.1,693.6,1165.8,400.6
172.7,1100,2160.6,376.6
183,1100,2977.7,407.3
178.9,1065,2748.3,340.8
174.2,1098,2321.1,255.5
177.7,1018.6,1476.9,260.5
175.7,1065.6,949.9,403.8
179.8,917,785.2,393.5
159.5,352.4,409.8,174.2
45.1,0,213.2,0
0,0,0,0
0,0,0,0
